OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
-,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,1776,3051,5271,5870,6103,6669,1576,2989,4594,3675,9178,991,3421,4503,4453,7735,2847,7186,9746,2426
+,3059,9414,5086,8211,7164,6720,6575,5801,9138,6442,2750,4984,6419,8239,4025,3571,7921,537,3802,130
+,2834,3600,8170,7199,3798,606,6146,6952,6001,6722,1353,4889,8430,7958,2254,7592,1770,2046,9149,5852
+,4443,6483,1675,7063,1235,9585,3028,4596,5731,8771,218,1893,4691,8068,1586,3849,3800,2080,4850,5925
+,8898,6787,9439,8180,8034,6579,2724,1923,310,6193,9496,1670,9998,8070,2941,7268,9174,7011,3125,4674
+,2133,8436,6031,3349,6390,4747,4017,2714,6715,1524,8140,4125,1256,6787,5181,9881,7130,1605,8434,952
+,1251,6568,8820,4835,505,601,1927,9333,4320,7795,5766,9394,6607,5581,2761,1491,8678,5807,7141,9557
+,9403,3429,9732,4293,8310,6625,2234,6300,5022,685,4883,7650,9072,9454,5740,666,6306,7619,3579,951
+,2675,9075,5897,9539,2181,1459,7133,5283,3688,2463,4472,7263,1356,9448,1795,6108,5250,5715,6840,2838
+,7423,786,4780,3444,8194,4239,8758,601,49,5809,6468,9278,873,419,3839,3451,4725,2521,8841,8963
+,3006,9385,1377,6799,611,5300,9369,7299,3122,287,1578,3011,4557,7223,3052,1148,4084,3823,3766,2866
+,3084,5597,674,2346,7595,845,2566,904,9456,5067,6838,5034,9359,9327,4923,1749,53,7551,1897,1953
+,6632,6136,7621,1967,7484,6025,1246,1818,6548,8587,8702,2515,9793,4780,8025,9773,9059,8227,1328,6836
+,3018,775,3125,7285,3802,5123,3811,3318,3868,6576,9470,8710,1166,8822,676,5240,5078,5,280,1276
+,8907,7404,7106,4362,4516,4653,7310,7350,8291,308,7696,3054,219,989,3585,689,4996,9971,5427,7492
-,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,8304,2577,3284,8454,5243,6660,1368,9187,5485,2339,8924,9366,3950,8306,837,7034,5513,4767,2855,4803
+,5090,6333,132,4033,7750,1029,1229,6770,900,6342,409,2222,6957,6181,1530,6165,1574,7837,3045,5404
+,7580,3991,1422,1852,3196,3028,730,3764,4714,3230,7012,2474,4589,9114,5520,8041,1423,8817,414,2242
+,5500,9242,209,5542,697,3808,2689,9898,8193,9304,8257,5010,5608,9119,7711,5141,6613,2701,5172,6442
+,3673,8775,5113,1053,6625,4210,3387,7448,2967,5565,1125,1354,8621,9856,6827,7345,3919,2922,2456,9529
+,4027,1481,6511,2973,7090,6468,6357,1205,3489,4924,7137,268,4160,7491,4590,7696,6506,7862,66,6269
+,5083,1787,9607,1212,9805,719,2911,1134,9542,1770,8954,1498,6717,3636,5206,6445,8894,2434,875,6421
-,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4947,6268,2753,5935,8084,8542,2377,1781,598,5573,6466,9947,6577,9822,6700,9690,8182,6048,182,5242
+,2241,3184,1443,8966,7455,9390,7905,3126,8729,2163,2537,2623,1439,7987,426,3058,7300,9169,1032,2440
+,8590,1153,4149,4784,659,8101,647,6050,4463,6602,5118,5472,7276,1667,863,1112,36,9355,4381,4508
+,311,5703,6668,5040,2123,4764,7439,2496,7422,9298,1480,6202,1037,6583,1221,71,9843,1332,7248,305
+,3570,1916,5250,7147,8356,5409,87,1121,2957,2714,8746,7124,9430,3077,6110,1644,3321,6585,6466,1899
+,9366,923,1154,3720,1113,7870,4430,7315,9138,8704,2121,3451,4770,2551,457,1683,8678,4982,4494,360
+,5450,7510,7058,1970,2254,791,679,7549,9962,2400,9686,1850,9510,6735,7630,8054,6385,1640,2987,9685
+,9651,6568,2419,1444,4195,1088,9964,7603,5128,8008,8480,6872,3157,9904,1883,7181,1758,904,9067,5625
+,3954,705,2558,7493,4636,3140,8979,6181,6284,8243,9714,4615,1832,2378,7586,3421,8133,8827,1595,2838
+,8350,6642,3184,1748,1127,2422,1292,6171,1447,1312,8841,9339,9919,1936,4431,127,5723,1515,8606,2742
+,4295,1835,8429,8447,6273,9520,3379,5977,5523,828,1972,3528,9440,2507,6788,7079,1808,4147,3403,2490
+,2333,9204,8021,8147,9098,3470,3761,5519,5104,3754,7956,4383,2743,8854,3269,9448,1952,95,2104,9136
+,1160,8675,9230,9783,532,1482,2682,8754,359,5815,4819,1553,449,1915,2062,1468,2950,7733,1554,755
-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,9548,8822,9800,9144,6946,8762,310,631,5582,4819,6287,2465,1937,3785,5321,1761,2732,7766,4695,7218
+,2248,2010,5712,7765,3298,9999,7482,7272,371,2607,6624,571,5063,5113,3284,6180,4363,8323,763,2247
+,3866,5346,6679,9375,4176,6483,3259,299,9636,3710,3600,1375,6333,5505,2321,72,7208,4153,9166,1625
+,2317,263,1638,7090,8355,6546,920,8966,5208,9439,2370,3030,187,4937,9124,2461,7232,6100,3321,6230
+,9928,3722,389,6763,4743,7488,7344,9991,6061,4992,4330,9775,7434,4311,3379,3318,2205,7986,1580,2820
+,3694,7954,1809,6451,7575,3847,7323,528,4207,5077,7911,2296,2419,1921,139,4472,1785,9482,8379,5408
+,4184,6012,3859,6206,327,8893,4655,5219,9384,8952,2155,7031,442,2879,4911,3690,25,5212,250,7338
+,5621,7858,8508,2419,2634,8656,9175,8910,1582,6030,3566,6741,4673,7309,6481,4005,6744,3985,4106,5863
+,4,3490,1949,8465,2049,7739,5779,1725,2857,1928,4278,9330,5483,3861,1245,73,547,9893,4006,8428
+,7055,3990,5509,4913,874,2753,7794,5922,9721,104,9232,5046,3025,2134,4638,5667,6225,6186,8357,4802
-,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,5254,2763,5037,1980,9938,3327,1872,7732,5973,9660,5156,8716,738,2030,7196,198,4812,9729,6528,5991
+,7526,1705,5592,5371,6463,4474,4829,972,7620,7199,9243,1380,9779,3283,349,5471,1841,1070,726,4288
+,9194,8414,5869,5648,621,4507,379,6473,7268,8102,9664,3162,9683,4937,2582,2984,4042,146,3632,4315
+,7027,7861,2489,6553,2009,2612,1065,8111,8212,9594,4480,4677,7440,9160,215,6858,2666,8345,6415,7402
+,1109,351,7552,8873,6904,6255,1578,7783,1933,9050,1389,6449,204,9559,50,299,760,3356,1290,3646
+,8246,6989,4836,6873,3253,1813,7534,9448,3089,1093,159,6478,6357,4899,5235,6024,6033,8590,7461,6563
+,5907,5519,1142,4248,4041,7788,1548,1760,7110,8381,1346,2726,2863,7669,6674,8922,6487,3735,8670,3697
-,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7138,7635,7223,1451,552,7494,1404,8350,1777,5348,1880,2046,3823,8518,2578,7434,5125,6980,1473,6512
+,6083,1600,1491,9905,4022,7859,1002,9491,5005,7119,5551,1310,1742,6678,5542,7537,2964,6176,115,7567
+,7739,4143,4723,3610,5651,7208,7751,2906,1137,3975,4572,3508,8218,1103,4744,6463,887,8544,8649,3193
+,2754,4069,64,825,8418,2102,8815,3703,5112,4233,1385,9988,2187,5243,7827,4116,1262,8406,6367,9685
+,5972,9397,7619,8538,9441,6503,9727,9929,143,7440,8778,7642,5893,204,8785,5894,3219,9618,5007,6500
+,170,5628,6275,6267,8409,8189,7162,7280,3290,6662,6156,3169,2409,582,8109,6211,7311,249,5924,3494
+,1411,2202,3423,7044,7039,2373,3062,6265,4902,7753,8958,6993,1801,1967,2344,3196,4297,8859,4895,7597
+,7854,6483,6265,9692,1447,1761,5327,4757,7581,206,2917,2256,7220,3079,8464,6455,1322,6804,1936,6120
+,7768,7040,5721,5473,9218,8338,8222,1562,8385,8020,6261,6288,3018,1477,8725,5301,2753,6001,9304,3218
+,7133,2963,4367,2626,3755,9474,752,5439,5479,3465,435,5590,4922,1659,5069,9289,6935,2479,4709,1581
+,4682,7694,641,6968,9585,9846,2237,2902,5723,5991,2241,6423,1120,1287,1838,476,9197,3292,4609,6876
+,7536,9248,7415,5118,340,6241,8219,3093,2295,8756,1608,786,8182,6057,6715,9497,4860,2360,7085,9054
+,9803,7278,1317,2790,8178,4785,3447,2410,5608,6399,4259,2190,8472,8831,1297,9976,6429,7010,9445,9866
+,160,7840,4990,833,7465,2546,8951,3834,6020,6177,5627,7827,4558,5589,4012,1190,429,180,2255,4733
+,8825,9716,6566,144,6338,8244,9491,5987,3051,2208,4325,715,4889,368,5132,697,2541,6841,6524,9919
+,199,6236,4620,1920,4866,8484,6561,7332,9532,3825,6118,4297,173,5165,3828,3797,638,7170,8225,4937
+,1033,9537,5273,3013,5959,6806,1695,2162,4068,7573,4632,9420,5761,9601,8376,75,9785,3898,587,3370
+,8065,9386,8891,6858,9227,9145,2971,3449,8278,772,4348,1152,353,2743,3331,1998,9903,8070,1985,3437
+,7534,9678,2390,7410,8656,712,6698,6608,4414,9332,4957,5423,2149,986,5087,6244,3067,6995,3305,2044
+,8512,4490,1138,1000,918,7160,5281,8389,7495,9337,6095,9655,9971,5670,4031,5577,7881,1997,6137,9770
+,7699,9889,2817,4036,663,2508,1259,7047,6976,3102,8546,6501,7175,5825,4334,3731,7969,9238,3455,6468
+,214,1700,3880,6225,2003,6817,2613,5644,1780,8706,7828,3129,5721,7665,3046,6441,9987,2174,3347,6751
+,8090,5672,539,2462,2011,5222,1405,2731,7210,1078,6694,7774,8837,3299,8601,1798,9382,6051,1411,6341
+,2197,3163,4633,9279,3798,2074,7406,3917,4003,8968,4579,3459,3128,6677,5056,4436,3251,1632,9155,4774
+,7474,2235,3942,9603,918,7233,9696,1362,7299,6380,5158,849,4971,3539,2348,6465,7179,1462,5254,9200
+,6962,41,6642,682,8928,447,5734,940,2451,5430,9498,1500,7086,1147,7383,7552,6121,1699,973,8375
+,3855,9162,3670,4722,7911,4945,380,4093,3175,2630,7302,5550,4864,2809,4346,3762,3186,3769,6598,9558
+,8803,9187,2672,820,2078,6514,5949,2122,6023,4959,5266,7179,3344,2616,8292,2562,135,3786,3833,8840
+,364,517,2999,3140,7959,1967,2114,6278,8721,2610,2201,3796,7609,552,6647,2259,1540,3335,8184,998
+,9430,4562,9549,2901,6206,5469,4041,3865,5698,4413,9475,5018,2525,3593,2916,2362,1842,206,1419,6684
+,816,7570,2294,3934,9858,7039,8850,1775,4517,858,6381,7769,6749,9340,3252,4574,2690,9685,3664,5476
+,7762,317,7010,2800,4472,5900,1072,9083,4225,4713,3823,7378,3600,1478,6525,8030,6563,7335,3246,6173
+,4485,7656,4801,7325,7029,6436,6636,4434,6776,792,618,292,4652,1495,6734,8666,1080,3075,4406,211
+,2591,6317,4703,1605,1962,5358,3007,9906,504,6679,8596,2232,2296,4137,7077,5881,6468,4034,2291,9890
+,9623,6533,9823,7921,4515,2912,6195,965,5160,2209,575,4584,2446,2090,3794,3787,2390,8018,876,2170
-,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,3029,2036,7726,8254,9143,6316,6028,8599,3956,1546,1008,9120,9896,7640,5799,7530,4017,6770,1056,2783
+,8718,4405,1975,5704,1430,5763,9488,4757,5692,973,4848,9057,7181,8051,1186,9966,9219,9752,256,6123
+,1402,5592,751,2327,9209,3707,3492,2795,2257,6260,4396,9464,6432,6428,2167,6730,9220,9149,299,828
+,3760,2293,1134,5191,4429,5259,1879,6172,4888,4695,1631,3744,4612,1044,6831,7724,4216,1323,2173,8371
+,4813,3778,7287,3600,4913,2427,4134,6579,8113,4689,4061,6816,7184,6120,7773,17,1484,837,5690,3837
+,5699,6163,5370,3637,4475,5371,6046,8981,8667,9676,4811,1363,4163,333,4639,3417,1052,4916,1388,2647
+,9254,9542,6411,5480,5092,9216,9468,3510,421,3515,9010,5750,2642,5268,5811,1173,1608,6408,1772,7413
-,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6502,210,9933,2894,9184,2247,7516,7720,9166,4897,1764,223,5539,1134,562,380,3962,8142,8615,8295
+,8036,7111,812,6663,6440,3266,1371,6339,88,1641,5619,2785,2013,2553,1861,3895,5377,7250,6303,8296
+,1214,4012,7194,668,4114,2073,3965,9389,7606,2364,4720,9588,1151,887,8895,4367,268,3064,5675,2858
+,1678,8177,3687,4778,4300,2514,6480,9773,3026,6088,2727,5836,5921,6291,614,3702,5472,7425,4007,2267
+,6374,1982,6967,3179,8393,6192,7025,1201,9789,2443,2891,4476,1315,2220,6438,7335,3628,4447,8726,4670
+,395,8122,8573,5442,7576,8011,4238,1736,8545,1903,7166,8648,7264,5801,9356,6054,8438,1008,8910,7048
+,3402,7103,1232,6033,1409,7804,7380,2344,3763,8685,981,4482,1644,9717,3651,6392,6537,609,5357,6331
+,7677,4886,5373,3308,2733,1457,1328,1489,4266,858,4223,3971,8145,6849,7576,5328,2009,3217,6027,563
+,4373,7300,9968,7383,747,5067,4110,8540,4527,9847,3168,6323,686,4295,5188,6628,7179,5990,5572,9344
+,6220,9902,2848,6357,1233,9923,2200,4739,3176,1569,8024,9923,9425,3725,7949,2327,84,73,1496,3766
+,3818,1709,474,4338,4194,6235,9268,7050,9861,9819,7246,4607,4104,6447,4477,4104,7488,9103,1755,4113
+,7625,5792,1540,7284,615,2822,3210,4890,7854,1124,9516,4657,6631,8443,6074,3196,1023,9212,3164,5044
-,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7766,3374,989,3427,9496,4294,2876,1133,3164,5892,5767,8282,506,3888,1883,8490,5878,8409,3024,8615
+,9741,9936,7515,876,6713,7889,940,3843,1700,1122,2771,1,2946,6902,8475,3014,9894,8039,2032,8619
+,9157,8317,2297,5068,4613,3883,5404,9686,9124,7573,7300,4472,788,6293,5837,5357,7103,1177,1018,9828
+,2824,766,9969,9726,6319,8279,7718,9203,5261,6792,2157,2396,4240,5169,1053,8768,5448,441,4838,5989
-,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,5362,774,5528,8178,2609,2906,70,6945,1987,8713,2216,1839,9493,6715,5338,8544,3665,2675,5902,9072
+,8150,8007,2799,2583,5248,6567,7587,3201,4881,1626,8669,4970,9861,6596,4831,1184,3181,9486,8253,6763
+,9335,2686,7186,2122,5661,6382,1033,7389,415,1146,4560,7687,66,7047,7786,5970,1837,6199,161,4430
+,8223,5094,9345,7333,2501,9256,5287,9453,8589,1459,2535,3825,4147,3648,2519,9596,5871,4446,2943,8456
+,7957,5691,1369,565,4453,5008,5619,7718,6246,403,1261,7103,5961,9417,1717,2491,2724,637,9939,4033
+,8771,1694,3655,5418,826,8069,6061,6085,7429,8049,159,2254,8573,8034,4941,9908,6217,3389,6542,1700
+,4875,4189,2334,9178,6684,3989,7628,316,5772,9543,2619,4641,5242,7550,946,283,7627,3674,5746,2019
+,3702,5439,6217,8781,6829,4643,4348,77,6833,4793,8214,7037,4121,3015,7485,7463,1954,2912,6126,1121
+,5863,3594,6175,2765,9087,3640,8618,1985,3263,1321,4884,2145,1889,6972,1077,588,9611,3612,391,3520
+,3880,1822,9939,4937,1076,5687,1055,7114,1902,3423,7220,4808,2070,2772,1952,7328,9162,7446,9266,5300
+,6783,8186,2161,2619,5820,985,1536,524,3939,4462,9000,764,4398,2053,2866,3434,7386,2962,2477,1637
+,4351,3172,3997,3366,2862,6948,6810,3750,255,2601,379,6860,2436,4492,9357,9334,2202,8870,3154,466
+,4871,7212,7082,6287,8087,3839,3578,6451,1153,6889,5581,9654,450,5712,7037,1554,1946,2013,8692,2890
+,1919,4613,7589,616,1541,9896,6228,4167,4476,4748,1340,9265,3424,8811,8670,8519,8859,5461,6768,7489
+,4496,8861,4342,2575,2962,560,378,8763,9185,8500,4017,2803,8586,3451,3867,4614,5376,8962,5475,8864
-,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7502,9451,6426,1692,3443,3964,660,6725,239,4224,941,2493,8412,4781,1626,2143,9495,1998,7446,4718
+,1414,6687,6333,5562,2645,3517,1732,8916,1636,5065,9046,3127,5347,4758,9325,8132,1314,299,7446,4834
+,178,9939,163,4088,1609,981,3583,6572,5128,4852,2474,371,9262,1014,833,3103,3159,3280,2137,9954
+,7310,5725,6178,6003,8281,7245,5003,9668,768,8163,8674,5687,4456,5376,9708,9242,1538,4555,2074,3133
+,6045,919,7286,5857,7484,5794,1481,1871,7677,5578,7417,7990,6584,5562,7451,404,473,7968,816,6301
+,2116,9956,9884,1761,4542,6441,9855,2637,4315,670,1724,3576,8412,7687,3699,2301,6372,724,4745,4044
+,8427,5634,505,3197,7975,8806,6121,5866,1166,8533,1445,782,5104,4939,9946,7845,3632,6029,384,3999
+,2223,4560,8267,5113,2298,941,3116,8847,8784,450,5312,1139,1286,1615,2490,9523,419,5577,7571,7777
+,3693,8790,1536,1219,5782,3411,8192,2193,2110,1031,4600,4108,5392,4087,1275,1186,2572,2468,6837,7475
+,5330,6283,3299,8952,4094,4404,859,5567,1268,7437,7444,2066,4273,9053,3122,1714,207,5081,2648,4931
+,8268,529,1501,7315,9576,679,3491,2271,3035,2578,7597,8338,9573,5588,2766,3417,164,310,5729,4887
+,1985,4516,4212,8205,8006,1996,5814,2375,6366,4881,7856,9880,2930,45,5200,7774,8921,8990,2969,9180
+,3186,1866,3473,5587,1515,3820,9598,78,5142,2461,1993,3351,2787,2163,1213,2097,4452,6627,8057,2090
+,1953,357,7230,3680,6480,1009,9913,2685,2351,9312,231,6570,9300,8673,3583,5389,4503,7387,2744,101
+,2714,6806,2656,9017,6349,7663,9042,9168,8971,1113,1378,2480,5497,1525,1434,6417,8171,5962,3091,6519
+,7892,3330,8392,1347,4083,3683,4576,7313,5852,1370,8310,7403,820,6054,2805,5497,1294,9761,5808,598
+,8691,7037,735,6847,8685,8739,1246,5320,3789,6520,6479,9936,3453,5857,793,2180,3585,9130,5612,2302
+,6536,6927,5769,1784,3333,6925,2232,5163,8096,8087,7596,8757,2258,7873,4933,230,1016,5553,7460,940
+,2485,4821,7557,2065,3461,1004,2065,3713,703,9684,3821,1077,4199,6653,7696,6654,5880,648,3074,718
+,9109,9273,2467,7738,3456,6572,3390,1855,8863,7842,7291,4098,8591,8601,8218,4030,1402,5659,4849,3586
+,2360,4151,1344,867,8284,544,8364,8678,3508,6107,2965,3075,4334,5270,7023,1304,8949,1790,5396,963
-,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,5886,1113,4171,2597,2257,5957,4716,4642,9654,9309,9757,9975,6885,6087,4888,3782,3198,9136,9951,1226
+,9956,2588,853,6081,4672,6078,3102,2853,5519,4978,3756,6344,8234,1621,5110,5672,7288,5054,5758,4306
+,927,7238,8666,3552,6263,9931,3657,8237,9473,9486,340,8010,9309,9266,3556,2815,292,8043,7235,4754
+,1855,538,8516,3136,8588,9928,6613,9047,1912,5017,9605,7354,1700,2630,1824,7879,8209,4111,7695,1952
+,9626,7448,909,6995,6646,3,6,151,3254,3634,1046,5233,1579,9593,3723,8863,302,8279,4063,3774
+,8584,3854,3345,741,5330,2773,1104,4490,4466,7548,1996,4599,6611,5499,2776,1558,19,5788,9251,9013
+,6833,7320,9046,2653,7231,5641,9449,6028,532,5043,9298,1488,9983,8840,8578,5714,999,286,2969,9256
+,1286,8308,7512,6521,4588,9058,1434,9418,3178,7498,2060,1898,7839,9537,6748,858,3187,1013,2501,1848
+,6120,5522,2823,5805,3287,1799,7600,5657,5158,2546,4026,8491,8447,9725,7673,4767,2833,4348,6187,7320
+,3658,6758,9404,409,512,7398,837,5268,8273,2048,5447,4697,9605,5880,584,6393,9848,6051,5777,6028
+,6956,1764,5007,9031,3942,7562,4513,9775,6196,3595,276,2141,1232,1946,7223,2522,8299,9981,3508,1984
+,7960,6368,5058,4408,7500,3227,9398,7808,2718,5808,6459,70,9574,1113,6586,8525,3906,8572,4854,9113
+,7914,7251,4573,1037,5263,3738,1015,3425,6703,4514,7347,56,1760,5423,7127,8678,9098,3607,9889,7887
+,5542,5340,6711,5397,6552,2757,4385,3929,325,8284,4207,2029,5689,2709,8862,1571,1852,7987,7814,3340
+,3955,6544,1490,5005,8840,7552,599,8909,8894,7431,3487,9738,6895,942,5568,6941,2851,8504,6933,9852
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,3179,5714,8153,9941,2204,5076,8616,6412,4772,5008,8066,4712,8673,135,6666,230,8543,8513,9651,5294
-,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,797,9219,6929,2902,2761,5130,7471,467,654,23,5386,645,2697,4931,8590,760,4393,9331,6365,3312
+,3922,703,3194,5110,2168,4957,9774,8010,4597,8302,4889,4570,3816,8614,8066,6842,8084,9801,3191,6567
+,2677,3444,235,9085,6281,6274,1502,8739,7039,6054,2716,5941,7667,968,3093,3877,6564,80,3607,2978
+,4102,3679,1666,4506,6297,7055,1996,3205,705,7545,7501,5379,2977,6531,2675,8139,8903,8355,5569,2151
+,3830,5371,1808,778,9058,3135,5280,9106,9604,7666,2980,922,3152,7768,7183,2791,1209,9918,1377,799
+,6102,1907,5824,8572,8022,5929,5571,6207,8079,9420,4641,395,5072,8463,9358,8462,8439,7825,4698,2541
+,3594,8448,2019,9406,4508,6740,7086,9750,1531,878,5740,4095,4005,2843,2686,9085,2185,6393,9685,277
+,9797,4137,5416,5484,3785,5238,9629,7163,1686,802,2147,6041,1579,6228,1370,5463,1052,9495,7529,9543
+,9833,2386,9154,6132,9205,6143,5150,9021,176,329,6707,8145,3319,629,719,1300,5189,1197,1456,6714
+,5962,3538,9894,169,1706,6422,2337,2298,6735,4238,9365,4302,8704,2855,9481,9000,2458,9782,256,5219
+,5538,6662,8487,3683,9342,5032,4942,6294,8732,952,166,3465,9119,9346,9403,5060,6625,6571,5650,7723
+,3541,3268,8690,9749,887,6779,1413,5720,2083,6503,5655,5209,33,5365,849,7129,785,4908,6686,6529
-,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,996,8842,7249,1802,3129,3259,9312,2630,2188,3824,425,1663,6504,955,9057,1725,4020,8912,1650,723
+,4009,7724,6655,7532,4092,2811,3317,9189,5421,9803,8868,230,3372,5500,946,8501,4285,2966,8216,1996
+,8564,2779,279,799,7879,411,328,6575,1997,2158,5410,4327,3172,5717,8257,118,7635,9946,4072,6781
+,3219,4187,3383,9953,7865,848,5028,2342,3426,1163,8581,9668,1127,6427,4856,31,4287,1524,4389,3823
+,8985,5974,8709,1834,568,5626,9147,5362,4762,5178,7911,1374,6813,4784,5263,6588,1228,1505,6637,4195
+,6613,2730,3230,979,336,5388,8411,4842,270,6761,4420,7375,5832,2908,463,9740,156,9469,7417,4978
+,4166,9220,3237,6436,968,9525,7835,7984,655,4428,9694,2133,6688,743,6762,2707,6475,8959,7556,6914
+,6283,5900,7729,3445,2877,3539,3330,4917,3976,691,7907,6974,1479,4834,6233,5241,8891,4577,3222,4754
+,8251,8551,126,2261,4549,9941,2298,7039,5587,2012,5655,6148,584,158,2167,4931,5665,5021,7760,7113
+,2399,9508,4150,7046,5556,7597,8914,3998,8318,6600,5572,2292,3493,2946,4319,6619,5397,7731,2789,9459
+,8243,2666,454,8830,4108,6095,485,4213,1480,2587,2006,5008,7309,3478,1798,7199,2608,1876,4763,5484
+,3674,8819,6940,87,5586,6684,3225,6568,6395,2191,7122,9385,2226,3102,3068,9770,2972,9490,8592,1647
+,9384,2380,8246,6440,3263,9290,2567,3458,1236,9985,1908,5698,6041,3434,5134,5531,3145,3206,4243,3134
+,1357,4849,6458,5600,5825,6407,314,4526,9759,690,9058,4322,3136,5909,2423,5527,8641,987,3637,8247
+,4435,8030,5560,134,8379,5506,900,6641,9335,7465,5251,2863,886,6447,2453,8394,3858,6459,7307,8474
+,6074,9293,6545,488,2925,5077,7311,3497,3375,652,5231,8590,6150,2257,257,1300,5545,1657,8131,203
+,8810,3913,9385,1175,7002,1980,899,4201,9792,1325,291,9571,2086,8267,4039,3094,604,5822,2969,1165
-,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,820,7404,4194,5609,8580,2004,7891,6086,4277,6247,276,461,4699,8019,5504,6159,1748,6760,32,9003
+,4763,7084,2918,5730,452,4959,4385,1179,1863,9784,8406,1637,2158,4740,3865,920,8333,8017,7825,1719
+,9801,4007,9126,60,363,3749,7841,5066,8930,7003,2750,5271,2743,8039,7421,215,8786,5672,7459,4148
+,80,6744,6642,5009,9742,5775,446,4460,2866,3294,9563,6132,5739,2347,5766,2085,1744,9019,8085,5732
+,412,6917,5736,3489,8446,7159,7082,9968,1542,948,1085,2021,380,9833,7836,2036,4307,7851,4924,4440
+,1969,5630,8269,2089,4446,7228,9700,6904,7697,1355,9818,8615,332,1561,2364,2122,3626,9363,9792,5860
+,6795,6553,9172,8106,1074,5392,2640,7627,1361,8064,9327,4369,6695,168,4771,5315,1779,7849,2992,962
+,9576,5487,198,3070,1243,9529,3212,3282,8375,5869,224,3803,5997,2162,2862,4556,7836,255,5133,2975
+,2438,3430,1031,2936,3142,3609,3789,5356,1652,5047,5403,7365,6683,4706,4837,4782,3557,5342,5351,2236
+,6720,830,6293,2755,2258,6609,8726,9315,9013,5054,9574,5398,2291,9844,3294,2433,3453,9468,5563,5130
+,6190,1223,9244,8992,478,1127,3248,6447,3170,8798,1608,9551,8304,6694,7015,3559,406,867,1196,5027
+,5728,5363,4429,9881,5001,2634,165,6916,3754,1788,6358,4518,55,8993,236,583,2738,3152,5427,8862
+,9192,8640,5670,6207,96,5897,1042,2321,8767,1588,5057,328,5212,4887,2272,4157,7330,432,719,7042
+,6495,3349,3933,9168,2317,7422,7271,6411,8992,2369,4511,2802,7793,4762,6618,8488,2736,7071,5080,520
+,3688,1672,8730,3581,1921,2108,1559,3063,6444,2919,3412,8885,3110,6095,1548,7976,9780,6909,1050,295
+,9001,3920,586,6195,659,3034,9525,5316,9898,6687,9189,8971,2871,1071,3724,9173,6607,2750,6085,6682
+,3318,6479,2500,7040,6384,766,5478,1398,4257,6283,8338,2069,6075,2934,1369,5302,4480,9708,5147,3506
+,2842,7163,7552,4966,1798,5688,5278,9331,4496,5224,1871,911,7664,608,6515,8443,1431,8901,5508,3277
+,6291,9665,8110,4367,5020,8031,1788,77,2222,9317,5659,4804,4667,9890,5418,2594,4265,7631,2142,2572
+,3766,8369,2059,3167,3089,6384,873,7355,1242,3236,1802,1821,7283,1386,4453,8822,3034,4177,5860,3564
